date,landing_page,page_title,views,users,entrances,engaged_sessions,average_engagement_time_seconds,form_submit_events,phone_click_events,whatsapp_click_events
2026-02-05,/portfolio,Portfolio,46,35,22,15,94,0,0,0
2026-02-05,/blog/website-cost-nepal,Website Cost in Nepal Guide,64,42,25,18,78,0,0,0
2026-02-05,/contact,Contact,36,22,13,7,104,0,0,0
2026-02-05,/about,About Digi Agent,17,9,7,3,46,0,0,0
2026-02-06,/,Home,205,156,66,37,88,1,0,0
2026-02-06,/services/business-website,Business Website Development,163,108,46,27,68,0,0,1
2026-02-06,/services/ecommerce-store,Ecommerce Store Development,91,62,35,21,63,1,0,1
2026-02-06,/services/seo-digital-marketing,SEO & Digital Marketing,75,42,36,20,52,0,0,0
2026-02-06,/services/school-management-system,School Management System,44,33,21,12,106,0,0,0
2026-02-06,/services/law-firm-management-system,Law Firm Management System,26,15,12,7,93,0,0,0
2026-02-06,/portfolio,Portfolio,56,38,17,11,114,0,0,0
2026-02-06,/blog/website-cost-nepal,Website Cost in Nepal Guide,31,21,8,5,138,0,0,0
2026-02-06,/contact,Contact,34,24,12,6,77,0,0,0
2026-02-06,/about,About Digi Agent,13,7,5,2,62,0,0,0
2026-02-07,/,Home,84,51,40,23,63,0,0,0
2026-02-07,/services/business-website,Business Website Development,49,35,16,9,120,0,0,0
2026-02-07,/services/ecommerce-store,Ecommerce Store Development,77,55,31,20,114,0,0,0
2026-02-07,/services/seo-digital-marketing,SEO & Digital Marketing,60,34,30,19,81,0,0,0
2026-02-07,/services/school-management-system,School Management System,19,11,6,3,95,0,0,0
2026-02-07,/services/law-firm-management-system,Law Firm Management System,23,16,7,4,50,0,0,0
2026-02-07,/portfolio,Portfolio,31,24,11,7,63,0,0,0
2026-02-07,/blog/website-cost-nepal,Website Cost in Nepal Guide,33,20,12,9,124,0,0,0
2026-02-07,/contact,Contact,16,8,7,4,76,0,0,0
2026-02-07,/about,About Digi Agent,6,4,1,0,83,0,0,0
2026-02-08,/,Home,146,85,41,23,102,0,0,0
2026-02-08,/services/business-website,Business Website Development,90,59,36,22,119,1,0,0
2026-02-08,/services/ecommerce-store,Ecommerce Store Development,41,28,18,10,75,0,0,0
2026-02-08,/services/seo-digital-marketing,SEO & Digital Marketing,76,57,34,20,117,0,0,0
2026-02-08,/services/school-management-system,School Management System,29,18,11,6,99,0,0,0
2026-02-08,/services/law-firm-management-system,Law Firm Management System,24,14,8,5,89,0,0,0
2026-02-08,/portfolio,Portfolio,29,21,8,5,39,0,0,0
2026-02-08,/blog/website-cost-nepal,Website Cost in Nepal Guide,30,16,11,8,94,0,0,0
2026-02-08,/contact,Contact,15,10,5,2,53,0,0,0
2026-02-08,/about,About Digi Agent,10,5,4,1,115,0,0,0
2026-02-09,/,Home,166,98,79,51,109,1,0,0
2026-02-09,/services/business-website,Business Website Development,61,38,18,12,65,0,0,0
2026-02-09,/services/ecommerce-store,Ecommerce Store Development,110,61,53,38,134,0,1,2
2026-02-09,/services/seo-digital-marketing,SEO & Digital Marketing,60,46,24,15,125,0,0,0
2026-02-09,/services/school-management-system,School Management System,50,29,15,9,63,0,0,0
2026-02-09,/services/law-firm-management-system,Law Firm Management System,24,13,12,8,99,0,0,0
2026-02-09,/portfolio,Portfolio,67,50,19,14,99,0,0,0
2026-02-09,/blog/website-cost-nepal,Website Cost in Nepal Guide,42,29,20,14,103,0,0,0
2026-02-09,/contact,Contact,34,18,11,5,48,0,0,0
2026-02-09,/about,About Digi Agent,9,6,4,2,100,0,0,0
2026-02-10,/,Home,112,79,54,31,92,0,0,0
2026-02-10,/services/business-website,Business Website Development,100,66,44,27,99,1,0,1
2026-02-10,/services/ecommerce-store,Ecommerce Store Development,50,35,19,12,95,0,0,0
2026-02-10,/services/seo-digital-marketing,SEO & Digital Marketing,75,51,36,23,96,0,0,0
2026-02-10,/services/school-management-system,School Management System,46,31,21,14,95,0,0,0
2026-02-10,/services/law-firm-management-system,Law Firm Management System,31,22,11,8,98,0,0,0
2026-02-10,/portfolio,Portfolio,51,36,18,13,114,0,0,0
2026-02-10,/blog/website-cost-nepal,Website Cost in Nepal Guide,33,24,14,10,101,0,0,0
2026-02-10,/contact,Contact,25,15,12,5,40,0,0,0
2026-02-10,/about,About Digi Agent,10,6,3,1,75,0,0,0
2026-02-11,/,Home,199,117,62,39,88,0,0,1
2026-02-11,/services/business-website,Business Website Development,84,63,33,21,89,1,0,1
2026-02-11,/services/ecommerce-store,Ecommerce Store Development,72,45,24,16,101,0,0,1
2026-02-11,/services/seo-digital-marketing,SEO & Digital Marketing,56,39,19,11,107,0,0,0
2026-02-11,/services/school-management-system,School Management System,33,25,12,7,97,0,0,0
2026-02-11,/services/law-firm-management-system,Law Firm Management System,37,24,10,7,97,0,0,0
2026-02-11,/portfolio,Portfolio,36,22,11,8,145,0,0,0
2026-02-11,/blog/website-cost-nepal,Website Cost in Nepal Guide,39,29,19,14,116,0,0,0
2026-02-11,/contact,Contact,22,16,6,2,90,0,0,0
2026-02-11,/about,About Digi Agent,8,5,3,1,39,0,0,0
2026-02-12,/,Home,171,120,59,36,70,0,0,0
2026-02-12,/services/business-website,Business Website Development,112,69,56,36,83,1,1,1
2026-02-12,/services/ecommerce-store,Ecommerce Store Development,94,56,29,17,104,1,0,1
2026-02-12,/services/seo-digital-marketing,SEO & Digital Marketing,78,50,31,19,67,0,0,0
2026-02-12,/services/school-management-system,School Management System,63,36,24,16,108,0,0,0
2026-02-12,/services/law-firm-management-system,Law Firm Management System,28,21,14,10,113,0,0,0
2026-02-12,/portfolio,Portfolio,44,25,22,16,65,0,0,0
2026-02-12,/blog/website-cost-nepal,Website Cost in Nepal Guide,41,26,13,9,40,0,0,0
2026-02-12,/contact,Contact,17,10,6,3,108,0,0,0
2026-02-12,/about,About Digi Agent,16,8,5,2,82,0,0,0
2026-02-13,/,Home,162,91,62,35,86,0,0,0
2026-02-13,/services/business-website,Business Website Development,101,63,32,18,108,0,0,1
2026-02-13,/services/ecommerce-store,Ecommerce Store Development,70,38,28,16,91,0,0,0
2026-02-13,/services/seo-digital-marketing,SEO & Digital Marketing,74,54,25,14,53,0,0,0
2026-02-13,/services/school-management-system,School Management System,31,18,11,8,68,0,0,0
2026-02-13,/services/law-firm-management-system,Law Firm Management System,26,19,9,6,75,0,0,0
2026-02-13,/portfolio,Portfolio,55,31,21,16,120,0,0,0
2026-02-13,/blog/website-cost-nepal,Website Cost in Nepal Guide,42,24,13,10,130,0,0,0
2026-02-13,/contact,Contact,24,16,8,4,78,0,0,0
2026-02-13,/about,About Digi Agent,6,3,1,0,69,0,0,0
2026-02-14,/,Home,116,81,57,34,35,0,0,0
2026-02-14,/services/business-website,Business Website Development,96,72,34,23,121,1,0,0
2026-02-14,/services/ecommerce-store,Ecommerce Store Development,96,71,36,25,146,1,0,1
2026-02-14,/services/seo-digital-marketing,SEO & Digital Marketing,69,43,33,19,38,0,0,0
2026-02-14,/services/school-management-system,School Management System,31,21,12,8,105,0,0,0
2026-02-14,/services/law-firm-management-system,Law Firm Management System,26,16,12,8,85,0,0,0
2026-02-14,/portfolio,Portfolio,35,21,17,11,81,0,0,0
2026-02-14,/blog/website-cost-nepal,Website Cost in Nepal Guide,37,20,14,8,121,0,0,0
2026-02-14,/contact,Contact,17,11,6,3,70,0,0,0
2026-02-14,/about,About Digi Agent,12,9,4,2,74,0,0,0
2026-02-15,/,Home,94,71,33,18,99,0,0,0
2026-02-15,/services/business-website,Business Website Development,83,49,35,23,100,0,0,1
2026-02-15,/services/ecommerce-store,Ecommerce Store Development,49,30,16,10,56,0,0,0
2026-02-15,/services/seo-digital-marketing,SEO & Digital Marketing,70,45,25,14,96,0,0,0
2026-02-15,/services/school-management-system,School Management System,36,24,17,11,98,0,0,0
2026-02-15,/services/law-firm-management-system,Law Firm Management System,18,10,5,3,102,0,0,0
2026-02-15,/portfolio,Portfolio,24,16,7,4,98,0,0,0
2026-02-15,/blog/website-cost-nepal,Website Cost in Nepal Guide,41,25,13,8,60,0,0,0
2026-02-15,/contact,Contact,18,13,8,3,58,0,0,0
2026-02-15,/about,About Digi Agent,5,3,1,0,86,0,0,0
2026-02-16,/,Home,170,123,53,33,84,0,0,1
2026-02-16,/services/business-website,Business Website Development,88,51,44,26,109,0,0,0
2026-02-16,/services/ecommerce-store,Ecommerce Store Development,59,43,24,14,119,0,0,0
2026-02-16,/services/seo-digital-marketing,SEO & Digital Marketing,46,33,19,10,53,0,0,0
2026-02-16,/services/school-management-system,School Management System,50,34,24,16,90,0,0,0
2026-02-16,/services/law-firm-management-system,Law Firm Management System,34,25,12,8,90,0,0,0
2026-02-16,/portfolio,Portfolio,29,16,11,7,61,0,0,0
2026-02-16,/blog/website-cost-nepal,Website Cost in Nepal Guide,48,26,21,15,111,0,0,0
2026-02-16,/contact,Contact,27,17,13,7,119,0,0,0
2026-02-16,/about,About Digi Agent,16,10,5,2,85,0,0,0
2026-02-17,/,Home,211,126,72,46,46,1,0,1
2026-02-17,/services/business-website,Business Website Development,99,54,28,15,98,0,0,0
2026-02-17,/services/ecommerce-store,Ecommerce Store Development,100,70,39,25,63,1,0,1
2026-02-17,/services/seo-digital-marketing,SEO & Digital Marketing,55,35,19,10,75,0,0,0
2026-02-17,/services/school-management-system,School Management System,44,27,20,12,94,0,0,0
2026-02-17,/services/law-firm-management-system,Law Firm Management System,44,24,20,14,93,0,0,0
2026-02-17,/portfolio,Portfolio,49,35,17,10,114,0,0,0
2026-02-17,/blog/website-cost-nepal,Website Cost in Nepal Guide,55,31,16,10,126,0,0,0
2026-02-17,/contact,Contact,25,18,11,5,106,0,0,0
2026-02-17,/about,About Digi Agent,15,11,7,3,56,0,0,0
2026-02-18,/,Home,189,112,57,31,105,0,0,1
2026-02-18,/services/business-website,Business Website Development,85,50,41,27,106,0,0,0
2026-02-18,/services/ecommerce-store,Ecommerce Store Development,111,77,34,21,87,0,0,0
2026-02-18,/services/seo-digital-marketing,SEO & Digital Marketing,56,43,17,11,85,0,0,0
2026-02-18,/services/school-management-system,School Management System,62,34,31,19,111,0,0,0
2026-02-18,/services/law-firm-management-system,Law Firm Management System,33,20,15,10,68,0,0,0
2026-02-18,/portfolio,Portfolio,57,36,26,18,69,0,0,0
2026-02-18,/blog/website-cost-nepal,Website Cost in Nepal Guide,47,28,17,13,136,0,0,0
2026-02-18,/contact,Contact,28,18,14,7,88,0,0,0
2026-02-18,/about,About Digi Agent,12,8,6,2,58,0,0,0
2026-02-19,/,Home,178,113,51,28,89,0,0,0
2026-02-19,/services/business-website,Business Website Development,77,53,32,20,35,0,0,1
2026-02-19,/services/ecommerce-store,Ecommerce Store Development,104,77,35,23,162,1,0,1
2026-02-19,/services/seo-digital-marketing,SEO & Digital Marketing,79,47,25,16,98,0,0,0
2026-02-19,/services/school-management-system,School Management System,44,30,19,11,125,0,0,0
2026-02-19,/services/law-firm-management-system,Law Firm Management System,31,17,15,9,87,0,0,0
2026-02-19,/portfolio,Portfolio,47,27,22,16,100,0,0,0
2026-02-19,/blog/website-cost-nepal,Website Cost in Nepal Guide,41,25,19,14,32,0,0,0
2026-02-19,/contact,Contact,24,17,8,4,71,0,0,0
2026-02-19,/about,About Digi Agent,15,9,4,1,110,0,0,0
2026-02-20,/,Home,181,115,84,46,113,1,0,1
2026-02-20,/services/business-website,Business Website Development,94,59,34,23,88,0,0,0
2026-02-20,/services/ecommerce-store,Ecommerce Store Development,54,32,17,11,113,0,0,0
2026-02-20,/services/seo-digital-marketing,SEO & Digital Marketing,85,60,43,26,76,1,0,0
2026-02-20,/services/school-management-system,School Management System,48,28,21,14,100,0,0,0
2026-02-20,/services/law-firm-management-system,Law Firm Management System,45,33,22,16,104,0,0,0
2026-02-20,/portfolio,Portfolio,41,25,18,12,89,0,0,0
2026-02-20,/blog/website-cost-nepal,Website Cost in Nepal Guide,36,23,13,9,94,0,0,0
2026-02-20,/contact,Contact,17,11,5,2,64,0,0,0
2026-02-20,/about,About Digi Agent,10,5,4,2,41,0,0,0
2026-02-21,/,Home,145,97,67,35,93,0,0,1
2026-02-21,/services/business-website,Business Website Development,77,51,36,24,87,1,0,1
2026-02-21,/services/ecommerce-store,Ecommerce Store Development,73,52,32,19,126,0,0,1
2026-02-21,/services/seo-digital-marketing,SEO & Digital Marketing,58,38,29,18,79,0,0,0
2026-02-21,/services/school-management-system,School Management System,33,22,16,9,117,0,0,0
2026-02-21,/services/law-firm-management-system,Law Firm Management System,26,17,12,8,83,0,0,0
2026-02-21,/portfolio,Portfolio,42,23,18,12,72,0,0,0
2026-02-21,/blog/website-cost-nepal,Website Cost in Nepal Guide,38,29,14,10,95,0,0,0
2026-02-21,/contact,Contact,20,12,6,3,54,0,0,0
2026-02-21,/about,About Digi Agent,8,5,2,1,90,0,0,0
2026-02-22,/,Home,75,47,30,18,47,0,0,0
2026-02-22,/services/business-website,Business Website Development,73,53,33,19,103,0,0,0
2026-02-22,/services/ecommerce-store,Ecommerce Store Development,37,22,12,7,98,0,0,0
2026-02-22,/services/seo-digital-marketing,SEO & Digital Marketing,46,33,22,13,69,0,0,0
2026-02-22,/services/school-management-system,School Management System,34,22,15,10,129,0,0,0
2026-02-22,/services/law-firm-management-system,Law Firm Management System,20,11,7,4,88,0,0,0
2026-02-22,/portfolio,Portfolio,45,26,18,12,82,0,0,0
2026-02-22,/blog/website-cost-nepal,Website Cost in Nepal Guide,40,27,13,9,101,0,0,0
2026-02-22,/contact,Contact,18,11,7,3,87,0,0,0
2026-02-22,/about,About Digi Agent,9,5,4,2,49,0,0,0
2026-02-23,/,Home,138,81,46,26,92,0,0,0
2026-02-23,/services/business-website,Business Website Development,93,56,28,16,58,0,0,0
2026-02-23,/services/ecommerce-store,Ecommerce Store Development,77,47,26,15,48,0,0,0
2026-02-23,/services/seo-digital-marketing,SEO & Digital Marketing,84,52,24,14,50,0,0,0
2026-02-23,/services/school-management-system,School Management System,44,28,13,8,20,0,0,0
2026-02-23,/services/law-firm-management-system,Law Firm Management System,37,21,13,9,107,0,0,0
2026-02-23,/portfolio,Portfolio,30,21,15,10,106,0,0,0
2026-02-23,/blog/website-cost-nepal,Website Cost in Nepal Guide,28,15,13,8,78,0,0,0
2026-02-23,/contact,Contact,21,14,7,3,72,0,0,0
2026-02-23,/about,About Digi Agent,16,9,6,3,92,0,0,0
2026-02-24,/,Home,154,112,60,37,61,0,0,0
2026-02-24,/services/business-website,Business Website Development,105,77,38,24,78,0,0,0
2026-02-24,/services/ecommerce-store,Ecommerce Store Development,66,38,33,21,35,0,0,0
2026-02-24,/services/seo-digital-marketing,SEO & Digital Marketing,103,62,38,24,87,0,0,0
2026-02-24,/services/school-management-system,School Management System,33,18,15,8,99,0,0,0
2026-02-24,/services/law-firm-management-system,Law Firm Management System,41,28,13,9,102,0,0,0
2026-02-24,/portfolio,Portfolio,53,35,19,14,124,0,0,0
2026-02-24,/blog/website-cost-nepal,Website Cost in Nepal Guide,39,25,17,13,93,0,0,0
2026-02-24,/contact,Contact,22,14,9,4,60,0,0,0
2026-02-24,/about,About Digi Agent,13,7,4,2,40,0,0,0
2026-02-25,/,Home,116,78,53,31,97,0,0,0
2026-02-25,/services/business-website,Business Website Development,111,69,34,19,73,0,0,1
2026-02-25,/services/ecommerce-store,Ecommerce Store Development,102,79,45,30,95,1,0,1
2026-02-25,/services/seo-digital-marketing,SEO & Digital Marketing,70,47,25,14,77,0,0,0
2026-02-25,/services/school-management-system,School Management System,45,27,13,8,88,0,0,0
2026-02-25,/services/law-firm-management-system,Law Firm Management System,29,21,14,8,90,0,0,0
2026-02-25,/portfolio,Portfolio,48,29,23,17,89,0,0,0
2026-02-25,/blog/website-cost-nepal,Website Cost in Nepal Guide,39,24,11,8,113,0,0,0
2026-02-25,/contact,Contact,33,19,13,6,52,0,0,0
2026-02-25,/about,About Digi Agent,13,7,6,3,80,0,0,0
2026-02-26,/,Home,166,124,82,45,122,1,0,0
2026-02-26,/services/business-website,Business Website Development,105,76,32,21,117,0,0,0
2026-02-26,/services/ecommerce-store,Ecommerce Store Development,88,66,33,23,128,0,0,0
2026-02-26,/services/seo-digital-marketing,SEO & Digital Marketing,59,36,26,17,96,0,0,0
2026-02-26,/services/school-management-system,School Management System,28,18,10,7,93,0,0,0
2026-02-26,/services/law-firm-management-system,Law Firm Management System,33,25,9,6,129,0,0,0
2026-02-26,/portfolio,Portfolio,43,31,14,10,92,0,0,0
2026-02-26,/blog/website-cost-nepal,Website Cost in Nepal Guide,35,19,17,11,75,0,0,0
2026-02-26,/contact,Contact,21,14,8,4,20,0,0,0
2026-02-26,/about,About Digi Agent,12,8,6,3,62,0,0,0
2026-02-27,/,Home,160,111,60,34,85,1,0,0
2026-02-27,/services/business-website,Business Website Development,95,62,32,21,76,0,0,0
2026-02-27,/services/ecommerce-store,Ecommerce Store Development,47,31,17,12,31,0,0,0
2026-02-27,/services/seo-digital-marketing,SEO & Digital Marketing,56,34,27,15,108,0,0,0
2026-02-27,/services/school-management-system,School Management System,42,31,12,8,111,0,0,0
2026-02-27,/services/law-firm-management-system,Law Firm Management System,24,16,11,7,95,0,0,0
2026-02-27,/portfolio,Portfolio,46,35,23,15,113,0,0,0
2026-02-27,/blog/website-cost-nepal,Website Cost in Nepal Guide,38,26,16,11,104,0,0,0
2026-02-27,/contact,Contact,17,11,5,2,80,0,0,0
2026-02-27,/about,About Digi Agent,8,5,3,1,28,0,0,0
2026-02-28,/,Home,174,125,88,52,112,0,0,0
2026-02-28,/services/business-website,Business Website Development,75,57,31,20,115,0,0,0
2026-02-28,/services/ecommerce-store,Ecommerce Store Development,65,39,26,18,111,0,0,1
2026-02-28,/services/seo-digital-marketing,SEO & Digital Marketing,63,38,21,14,91,0,0,0
2026-02-28,/services/school-management-system,School Management System,34,20,16,11,90,0,0,0
2026-02-28,/services/law-firm-management-system,Law Firm Management System,32,24,14,10,115,0,0,0
2026-02-28,/portfolio,Portfolio,44,32,16,11,86,0,0,0
2026-02-28,/blog/website-cost-nepal,Website Cost in Nepal Guide,29,18,13,9,129,0,0,0
2026-02-28,/contact,Contact,17,11,5,3,66,0,0,0
2026-02-28,/about,About Digi Agent,6,3,2,0,66,0,0,0
2026-03-01,/,Home,94,67,29,15,54,0,0,0
2026-03-01,/services/business-website,Business Website Development,77,55,26,18,47,0,0,0
2026-03-01,/services/ecommerce-store,Ecommerce Store Development,57,36,21,14,153,0,0,0
2026-03-01,/services/seo-digital-marketing,SEO & Digital Marketing,71,46,33,18,69,0,0,0
2026-03-01,/services/school-management-system,School Management System,32,24,14,9,68,0,0,0
2026-03-01,/services/law-firm-management-system,Law Firm Management System,18,12,6,4,71,0,0,0
2026-03-01,/portfolio,Portfolio,48,33,17,11,102,0,0,0
2026-03-01,/blog/website-cost-nepal,Website Cost in Nepal Guide,27,15,12,8,105,0,0,0
2026-03-01,/contact,Contact,14,8,3,1,92,0,0,0
2026-03-01,/about,About Digi Agent,10,6,5,2,45,0,0,0
2026-03-02,/,Home,153,96,47,24,66,0,0,0
2026-03-02,/services/business-website,Business Website Development,99,68,47,32,64,1,0,1
2026-03-02,/services/ecommerce-store,Ecommerce Store Development,74,42,24,15,82,0,0,0
2026-03-02,/services/seo-digital-marketing,SEO & Digital Marketing,70,52,22,13,95,0,0,0
2026-03-02,/services/school-management-system,School Management System,60,38,28,19,115,0,0,1
2026-03-02,/services/law-firm-management-system,Law Firm Management System,33,25,10,7,126,0,0,0
2026-03-02,/portfolio,Portfolio,48,28,22,16,119,0,0,0
2026-03-02,/blog/website-cost-nepal,Website Cost in Nepal Guide,44,31,20,15,104,0,0,0
2026-03-02,/contact,Contact,28,21,9,4,85,0,0,0
2026-03-02,/about,About Digi Agent,16,8,7,3,46,0,0,0
2026-03-03,/,Home,158,95,64,40,79,0,0,1
2026-03-03,/services/business-website,Business Website Development,76,58,24,13,88,0,0,0
2026-03-03,/services/ecommerce-store,Ecommerce Store Development,82,61,25,16,62,0,0,0
2026-03-03,/services/seo-digital-marketing,SEO & Digital Marketing,104,58,38,23,32,0,0,0
2026-03-03,/services/school-management-system,School Management System,41,31,15,9,91,0,0,0
2026-03-03,/services/law-firm-management-system,Law Firm Management System,33,24,10,6,133,0,0,0
2026-03-03,/portfolio,Portfolio,53,39,24,17,102,0,0,0
2026-03-03,/blog/website-cost-nepal,Website Cost in Nepal Guide,52,35,21,15,82,0,0,0
2026-03-03,/contact,Contact,33,18,11,5,74,0,0,0
2026-03-03,/about,About Digi Agent,11,6,5,2,72,0,0,0
2026-03-04,/,Home,182,131,68,40,84,1,0,1
2026-03-04,/services/business-website,Business Website Development,95,61,38,25,113,0,0,0
2026-03-04,/services/ecommerce-store,Ecommerce Store Development,72,50,20,11,90,0,0,0
2026-03-04,/services/seo-digital-marketing,SEO & Digital Marketing,80,46,33,18,52,0,0,1
2026-03-04,/services/school-management-system,School Management System,38,21,18,12,96,0,0,0
2026-03-04,/services/law-firm-management-system,Law Firm Management System,26,16,8,5,80,0,0,0
2026-03-04,/portfolio,Portfolio,45,30,16,10,74,0,0,0
2026-03-04,/blog/website-cost-nepal,Website Cost in Nepal Guide,41,24,13,9,107,0,0,0
2026-03-04,/contact,Contact,26,19,11,6,71,0,0,0
2026-03-04,/about,About Digi Agent,9,6,3,1,59,0,0,0
2026-03-05,/,Home,253,140,119,72,83,2,1,1
2026-03-05,/services/business-website,Business Website Development,201,137,66,44,126,1,0,2
2026-03-05,/services/ecommerce-store,Ecommerce Store Development,95,52,43,25,116,0,0,0
2026-03-05,/services/seo-digital-marketing,SEO & Digital Marketing,108,75,38,21,84,0,0,1
2026-03-05,/services/school-management-system,School Management System,61,37,27,16,85,0,0,0
2026-03-05,/services/law-firm-management-system,Law Firm Management System,46,26,20,13,68,0,0,0
2026-03-05,/portfolio,Portfolio,101,75,38,25,78,0,0,0
2026-03-05,/blog/website-cost-nepal,Website Cost in Nepal Guide,48,28,17,13,117,0,0,0
2026-03-05,/contact,Contact,31,23,12,6,85,0,0,0
2026-03-05,/about,About Digi Agent,12,6,5,2,82,0,0,0
2026-03-06,/,Home,121,67,57,31,115,0,0,1
2026-03-06,/services/business-website,Business Website Development,71,43,24,13,69,0,0,0
2026-03-06,/services/ecommerce-store,Ecommerce Store Development,50,34,14,8,99,0,0,0
2026-03-06,/services/seo-digital-marketing,SEO & Digital Marketing,74,54,29,16,116,0,0,0
2026-03-06,/services/school-management-system,School Management System,49,27,19,13,91,0,0,0
2026-03-06,/services/law-firm-management-system,Law Firm Management System,17,9,7,4,89,0,0,0
2026-03-06,/portfolio,Portfolio,50,30,21,14,72,0,0,0
2026-03-06,/blog/website-cost-nepal,Website Cost in Nepal Guide,63,41,21,14,115,0,0,0
2026-03-06,/contact,Contact,13,8,6,2,69,0,0,0
2026-03-06,/about,About Digi Agent,10,7,3,1,76,0,0,0
2026-03-07,/,Home,105,68,37,24,84,0,0,0
2026-03-07,/services/business-website,Business Website Development,112,84,57,35,95,1,1,0
2026-03-07,/services/ecommerce-store,Ecommerce Store Development,104,64,50,30,126,1,1,1
2026-03-07,/services/seo-digital-marketing,SEO & Digital Marketing,78,46,30,16,67,0,0,0
2026-03-07,/services/school-management-system,School Management System,23,17,11,7,108,0,0,0
2026-03-07,/services/law-firm-management-system,Law Firm Management System,19,11,5,3,121,0,0,0
2026-03-07,/portfolio,Portfolio,29,17,9,5,100,0,0,0
2026-03-07,/blog/website-cost-nepal,Website Cost in Nepal Guide,34,25,14,10,110,0,0,0
2026-03-07,/contact,Contact,12,8,5,2,88,0,0,0
2026-03-07,/about,About Digi Agent,8,5,2,1,61,0,0,0
2026-03-08,/,Home,92,53,33,17,52,0,0,0
2026-03-08,/services/business-website,Business Website Development,78,54,39,26,91,0,0,1
2026-03-08,/services/ecommerce-store,Ecommerce Store Development,78,57,32,20,122,1,0,0
2026-03-08,/services/seo-digital-marketing,SEO & Digital Marketing,45,29,17,11,106,0,0,0
2026-03-08,/services/school-management-system,School Management System,41,30,16,9,117,0,0,0
2026-03-08,/services/law-firm-management-system,Law Firm Management System,26,17,8,5,89,0,0,0
2026-03-08,/portfolio,Portfolio,48,34,18,13,100,0,0,0
2026-03-08,/blog/website-cost-nepal,Website Cost in Nepal Guide,38,28,15,10,83,0,0,0
2026-03-08,/contact,Contact,29,17,11,5,78,0,0,0
2026-03-08,/about,About Digi Agent,8,4,3,1,57,0,0,0
2026-03-09,/,Home,109,78,56,34,79,0,0,0
2026-03-09,/services/business-website,Business Website Development,170,116,54,36,122,1,0,1
2026-03-09,/services/ecommerce-store,Ecommerce Store Development,98,58,32,18,67,0,0,0
2026-03-09,/services/seo-digital-marketing,SEO & Digital Marketing,93,53,45,25,75,1,0,0
2026-03-09,/services/school-management-system,School Management System,43,25,20,12,111,0,0,0
2026-03-09,/services/law-firm-management-system,Law Firm Management System,31,22,12,8,129,0,0,0
2026-03-09,/portfolio,Portfolio,57,43,24,17,133,0,0,0
2026-03-09,/blog/website-cost-nepal,Website Cost in Nepal Guide,39,22,19,13,55,0,0,0
2026-03-09,/contact,Contact,20,11,6,3,52,0,0,0
2026-03-09,/about,About Digi Agent,14,10,4,1,99,0,0,0
2026-03-10,/,Home,118,87,36,22,77,0,0,0
2026-03-10,/services/business-website,Business Website Development,134,86,59,39,76,1,1,1
2026-03-10,/services/ecommerce-store,Ecommerce Store Development,69,47,28,16,82,0,0,0
2026-03-10,/services/seo-digital-marketing,SEO & Digital Marketing,69,40,23,13,78,0,0,0
2026-03-10,/services/school-management-system,School Management System,36,25,13,9,106,0,0,0
2026-03-10,/services/law-firm-management-system,Law Firm Management System,24,13,12,8,102,0,0,0
2026-03-10,/portfolio,Portfolio,45,30,21,13,151,0,0,0
2026-03-10,/blog/website-cost-nepal,Website Cost in Nepal Guide,41,23,13,9,117,0,0,0
2026-03-10,/contact,Contact,26,16,12,7,66,0,0,0
2026-03-10,/about,About Digi Agent,12,7,5,2,87,0,0,0
2026-03-11,/,Home,147,101,55,29,48,0,0,0
2026-03-11,/services/business-website,Business Website Development,120,80,52,36,103,1,0,0
2026-03-11,/services/ecommerce-store,Ecommerce Store Development,107,68,32,22,87,0,0,1
2026-03-11,/services/seo-digital-marketing,SEO & Digital Marketing,63,37,31,17,100,0,0,0
2026-03-11,/services/school-management-system,School Management System,59,44,29,17,81,0,0,1
2026-03-11,/services/law-firm-management-system,Law Firm Management System,27,18,13,8,99,0,0,0
2026-03-11,/portfolio,Portfolio,39,27,15,9,123,0,0,0
2026-03-11,/blog/website-cost-nepal,Website Cost in Nepal Guide,33,23,11,8,84,0,0,0
2026-03-11,/contact,Contact,32,24,13,6,40,0,0,0
2026-03-11,/about,About Digi Agent,9,5,2,1,47,0,0,0
2026-03-12,/,Home,161,117,64,32,42,1,0,1
2026-03-12,/services/business-website,Business Website Development,131,74,60,34,82,1,0,1
2026-03-12,/services/ecommerce-store,Ecommerce Store Development,72,45,23,14,93,0,0,0
2026-03-12,/services/seo-digital-marketing,SEO & Digital Marketing,72,41,35,21,80,0,0,0
2026-03-12,/services/school-management-system,School Management System,40,24,16,11,136,0,0,0
2026-03-12,/services/law-firm-management-system,Law Firm Management System,37,28,16,10,122,0,0,0
2026-03-12,/portfolio,Portfolio,43,31,17,12,114,0,0,0
2026-03-12,/blog/website-cost-nepal,Website Cost in Nepal Guide,36,25,10,7,94,0,0,0
2026-03-12,/contact,Contact,35,23,12,5,96,0,0,0
2026-03-12,/about,About Digi Agent,17,13,4,1,104,0,0,0
2026-03-13,/,Home,139,91,58,35,84,0,0,0
2026-03-13,/services/business-website,Business Website Development,101,64,31,18,33,0,0,0
2026-03-13,/services/ecommerce-store,Ecommerce Store Development,89,58,41,29,129,1,0,0
2026-03-13,/services/seo-digital-marketing,SEO & Digital Marketing,43,27,17,9,84,0,0,0
